 Elv Value, rmse ,  mape ,jaccard_score
1160.0,4.198901468754837,0.27907921466976404,0.9052735143644235
1200.0,4.18407949553729,0.28546368703246117,0.9567648714580597
1240.0,3.840840176420157,0.24770009331405163,0.9785378082472117
1280.0,5.1496406503876555,0.3261387348175049,0.9730234250102909
1320.0,4.631591841917021,0.26200544089078903,0.9840271606626108
1360.0,5.858886698403253,0.3164151217788458,0.9745420810769995
1400.0,4.075086609089681,0.2132663270458579,0.9811771436744618
1440.0,3.3390152823894463,0.16219619428738952,0.9848235716580673
1520.0,2.6761614230097583,0.14349244302138686,0.9872567911978616
1560.0,3.0711587996521224,0.14271282125264406,0.9839685169842585
1600.0,1.8822357434013925,0.0724015582818538,0.9925352348058604
1640.0,2.174065891365761,0.08765244274400175,0.9871755725190839
1680.0,4.2007498571305835,0.19776925910264254,0.96904659188956
1720.0,4.260800046700604,0.19267695024609566,0.9640606370294669
1760.0,4.013780934877796,0.1689376076683402,0.9534595097735029
1800.0,1.8093671360404993,0.06834215600974858,0.9824759751271905
1840.0,2.36621184433665,0.08208786603063345,0.9751619870410367
1880.0,5.080005098175134,0.25308853946626186,0.8319783197831978
