 Hd_Act,Hd_pred,Contour
15.0,15.0,2340.0
14.0,7.0,2360.0
16.0,16.0,2380.0
12.0,5.0,2400.0
14.0,15.0,2420.0
11.0,10.0,2440.0
15.0,16.0,2460.0
21.0,19.0,2480.0
25.0,21.0,2500.0
25.0,25.0,2520.0
23.0,18.0,2620.0
24.0,19.0,2640.0
23.0,20.0,2660.0
18.0,20.0,2680.0
23.0,21.0,2700.0
27.0,27.0,2720.0
25.0,37.0,2780.0
29.0,22.0,2800.0
33.0,41.0,2820.0
22.0,25.0,2840.0
22.0,21.0,2860.0
48.0,47.0,2880.0
39.0,39.0,2900.0
31.0,25.0,2920.0
31.0,29.0,2940.0
21.0,20.0,2960.0
17.0,14.0,2980.0
18.0,14.0,3000.0
17.0,19.0,3020.0
20.0,23.0,3040.0
20.0,18.0,3060.0
22.0,25.0,3080.0
20.0,20.0,3100.0
16.0,13.0,3120.0
14.0,10.0,3140.0
22.0,17.0,3160.0
20.0,19.0,3180.0
45.0,21.0,3200.0
47.0,51.0,3220.0
57.0,57.0,3240.0
37.0,36.0,3260.0
29.0,23.0,3280.0
21.0,8.0,3300.0
13.0,13.0,3320.0
20.0,8.0,3380.0
14.0,10.0,3400.0
12.0,11.0,3420.0
15.0,15.0,3440.0
14.0,13.0,3460.0
15.0,13.0,3480.0
8.0,6.0,3500.0
5.0,5.0,3520.0
